I002;Introduction to Information Processing;3,50;autumn
I003;Macroeconomics;3,50;autumn - spring 
I004;Risks and Safety;0,00;autumn
I005;Philosophy;3,50;autumn - spring 
I007;Business Communication and Communication Psychology;3,50;autumn - spring 
I010;Study Setup and Introduction to IT Systems Analysis;1,50;spring 
I011;English;5,00;spring 
I013;Study Setup and Introduction to Technical Communication Specialism;1,50;autumn - spring 
I022;Study Setup and Introduction to Technical Communication Specialism;2,00;spring 
I025;Basics of Entrepreneurship;4,00;spring 
I100;Introduction to Informatics;3,50;autumn - spring 
I103;Logic and Algorithms Theory /Discrete Mathematics;4,50;autumn
I105;Linear Algebra and Numerical Computations;4,00;autumn
I106;IT Systems Support and Arrangement in Enterprises;3,50;autumn
I107;Algebra and Graph Theory;4,00;autumn - spring 
I108;Introduction to Terminology;3,00;autumn - spring 
I110;Physics for Poets;4,00;autumn - spring 
I111;Introduction to Informatics;3,00;autumn - spring 
I112;Logic and Algorithms Theory /Discrete Mathematics;4,00;autumn - spring 
I113;IT Systems Support and Arrangement in Enterprises;4,00;autumn - spring 
I114;Physics for Poets;3,00;autumn - spring 
I201;Computers;4,00;autumn - spring 
I202;Network Applications I: Client-Server Systems;5,00;autumn - spring 
I203;Telecommunication Basics;0,00;autumn - spring 
I204;Analysis and Design of Information Systems;5,50;autumn - spring 
I205;System Programming in C;5,50;autumn - spring 
I206;Database Basics;5,00;autumn - spring 
I208;Telecommunications Networks;4,50;autumn - spring 
I210;Office Software Programming;5,00;autumn - spring 
I211;Network Administration, Routers;4,50;autumn - spring 
I212;Object Oriented Programming;3,00;autumn - spring 
I213;Operating System Administration;5,50;autumn - spring 
I214;Functional and Logic Programming;4,00;autumn - spring 
I215;Software Protection;1,50;autumn - spring 
I216;Database Administration;3,50;autumn - spring 
I217;Real-Time Systems I: Design and Programming;3,50;autumn - spring 
I218;Hardware Programming;3,50;autumn - spring 
I219;Software Techniques;3,00;autumn - spring 
I220;Intellectual Capital Theory;3,50;autumn - spring 
I221;Foundations of System Theory;3,50;autumn - spring 
I222;Basics of Telecommunication;4,50;autumn - spring 
I223;Telecommunications Networks;5,50;autumn - spring 
I224;Art of Persuation;3,00;autumn - spring 
I225;Textual Study;3,00;autumn - spring 
I226;Technical Applications of Language;3,00;autumn - spring 
I227;Marketing Research;3,00;autumn - spring 
I228;Software Technologies;5,50;autumn - spring 
I232;Network Administration, Routers;4,00;autumn - spring 
I234;Software Protection;2,00;autumn - spring 
I235;Database Administration;4,00;autumn - spring 
I236;Real-Time Systems I: Design and Programming;4,00;autumn - spring 
I237;Hardware Programming;4,00;autumn - spring 
I240;Basics of Telecommunication;4,00;autumn - spring 
